,URL,CF position,Price to second place,Price to top,Top price,CF price,Ship name
0,"=HYPERLINK(""https://star-hangar.com/star-citizen/spaceships/aegis-dynamics/vulcan.html?starcitizen_insurance=255&product_list_limit=36&product_list_order=price_low_to_high"")",[1],[0.0],n/a,192.87,[192.87],aegis-dynamics_vulcan
1,"=HYPERLINK(""https://star-hangar.com/star-citizen/spaceships/anvil-aerospace/arrow.html?starcitizen_insurance=255&product_list_limit=36&product_list_order=price_low_to_high"")",[1],[5.01],n/a,99.99,[99.99],anvil-aerospace_arrow
