,URL,CF position,Price to second place,Price to top,Top price,CF price,Ship name
0,"=HYPERLINK(""https://star-hangar.com/star-citizen/spaceships/aegis-dynamics/avenger/renegade.html?starcitizen_insurance=8&product_list_order=price_low_to_high&product_list_limit=36"")",[2],['n/a'],[0.0],104.99,[104.99],avenger_renegade
1,"=HYPERLINK(""https://star-hangar.com/star-citizen/spaceships/aegis-dynamics/avenger/stalker.html?starcitizen_insurance=8&product_list_order=price_low_to_high&product_list_limit=36"")",[2],['n/a'],[0.0],109.0,[109.0],avenger_stalker
